group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,STMN1,34.084026,2.368278,1.2722300389772087e-254,4.007023744810106e-253,0.44556831818961085,0.15495958853783984
CD56bright,TMEM14C,33.98505,2.8685176,3.7049376277337205e-253,1.1577930086667877e-251,0.357277558717641,0.04276267450404115
CD56bright,TCIRG1,33.943336,1.1991827,1.529735381049237e-252,4.743365522633293e-251,0.6763243613920795,0.297060984570169
CD56bright,CRTAM,33.568115,3.3065965,4.898991391610638e-247,1.495875234079584e-245,0.3379050231441797,0.030786186627479794
CD56bright,TPI1,33.244884,0.86219734,2.4201391540389687e-242,7.333755012239299e-241,0.9211383507629007,0.7324761204996326
CD56bright,CST3,33.204865,2.0683272,9.15821450232574e-242,2.75435022626338e-240,0.3987656437510715,0.08273328434974284
CD56bright,CARHSP1,33.138756,1.3264363,8.223361577295607e-241,2.4547347991927183e-239,0.5887193553917367,0.24790595150624542
CD56bright,NHP2,33.046078,1.3023735,1.7710060002588587e-239,5.2474251859521735e-238,0.5875192868163895,0.24048493754592212
CD56bright,TPM4,33.044884,1.2042634,1.8423917868511622e-239,5.418799373091653e-238,0.6672381278930225,0.3130051432770022
CD56bright,SEPT11,33.025978,1.4207625,3.442444768224425e-239,1.0050933629852335e-237,0.5035144865420881,0.16531961792799413
CD56bright,CD52,32.829544,1.1422375,2.2311227140213677e-236,6.467022359482225e-235,0.8784501971541231,0.5876561351947098
CD56bright,RCBTB2,32.782326,1.8413533,1.0516796376450947e-235,3.0264162234391214e-234,0.43373907080404595,0.12049963262307127
CD56bright,EEF1G,32.75517,0.7855975,2.5629584425638997e-235,7.322738407325427e-234,0.9603977370135436,0.7914033798677443
CD56bright,CTSW,32.73212,0.52937734,5.4548991689741474e-235,1.5474891259501129e-233,0.9885136293502486,0.9563556208670095
CD56bright,SMAP2,32.644176,1.0980834,9.692319476499999e-234,2.7302308384507043e-232,0.7709583404765986,0.3914033798677443
CD56bright,TIMM13,32.568672,1.4349564,1.1393343837935563e-232,3.1869493252966615e-231,0.4959711983541917,0.16340925789860397
CD56bright,FAM129A,32.45285,1.4224671,4.937731866535129e-231,1.371592185148647e-229,0.4930567460997771,0.16399706098457018
